No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
510,小平市,kodaira,市,200849,住宅・閑静・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/kodaira/,B,標準,2-3,
511,日野市,hino,市,192585,住宅・自然・川・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/hino/,C,薄め/様子見,1-2,
512,日野市,hino,市,192585,住宅・自然・川・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/hino/,C,限定的/要確認,1-2,
513,日野市,hino,市,192585,住宅・自然・川・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/hino/,C,限定的/要確認,1-2,
514,日野市,hino,市,192585,住宅・自然・川・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/hino/,C,薄め/様子見,1-2,
515,日野市,hino,市,192585,住宅・自然・川・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/hino/,B,標準,2-3,
516,日野市,hino,市,192585,住宅・自然・川・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/hino/,C,薄め/様子見,1-2,
517,日野市,hino,市,192585,住宅・自然・川・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/hino/,B,標準,2-3,
518,日野市,hino,市,192585,住宅・自然・川・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/hino/,B,標準,2-3,
519,日野市,hino,市,192585,住宅・自然・川・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/hino/,C,薄め/様子見,1-2,
520,日野市,hino,市,192585,住宅・自然・川・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/hino/,C,薄め/様子見,1-2,
521,日野市,hino,市,192585,住宅・自然・川・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/hino/,B,郊外で成立余地,2-3,
522,日野市,hino,市,192585,住宅・自然・川・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/hino/,B,標準,2-3,
523,日野市,hino,市,192585,住宅・自然・川・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/hino/,C,薄め/様子見,1-2,
524,日野市,hino,市,192585,住宅・自然・川・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/hino/,C,薄め/様子見,1-2,
525,日野市,hino,市,192585,住宅・自然・川・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/hino/,B,標準,2-3,
526,東村山市,higashimurayama,市,152377,住宅・寺・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/higashimurayama/,C,薄め/様子見,1-2,
527,東村山市,higashimurayama,市,152377,住宅・寺・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/higashimurayama/,D,原則対象外/親統合,0,
528,東村山市,higashimurayama,市,152377,住宅・寺・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/higashimurayama/,D,原則対象外/親統合,0,
529,東村山市,higashimurayama,市,152377,住宅・寺・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/higashimurayama/,C,薄め/様子見,1-2,
530,東村山市,higashimurayama,市,152377,住宅・寺・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/higashimurayama/,B,標準,2-3,
531,東村山市,higashimurayama,市,152377,住宅・寺・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/higashimurayama/,C,薄め/様子見,1-2,
532,東村山市,higashimurayama,市,152377,住宅・寺・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/higashimurayama/,B,標準,2-3,
533,東村山市,higashimurayama,市,152377,住宅・寺・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/higashimurayama/,B,標準,2-3,
534,東村山市,higashimurayama,市,152377,住宅・寺・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/higashimurayama/,C,薄め/様子見,1-2,
535,東村山市,higashimurayama,市,152377,住宅・寺・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/higashimurayama/,C,薄め/様子見,1-2,
536,東村山市,higashimurayama,市,152377,住宅・寺・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/higashimurayama/,D,都心は対象外/親統合,0,
537,東村山市,higashimurayama,市,152377,住宅・寺・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/higashimurayama/,A,主力・最優先,3-5,
538,東村山市,higashimurayama,市,152377,住宅・寺・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/higashimurayama/,B,標準,2-3,
539,東村山市,higashimurayama,市,152377,住宅・寺・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/higashimurayama/,C,薄め/様子見,1-2,
540,東村山市,higashimurayama,市,152377,住宅・寺・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/higashimurayama/,C,薄め/様子見,1-2,
541,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/kokubunji/,C,薄め/様子見,1-2,
542,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/kokubunji/,D,原則対象外/親統合,0,
543,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/kokubunji/,D,原則対象外/親統合,0,
544,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/kokubunji/,C,薄め/様子見,1-2,
545,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/kokubunji/,A,主力・最優先,3-5,
546,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/kokubunji/,C,薄め/様子見,1-2,
547,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/kokubunji/,B,標準,2-3,
548,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/kokubunji/,B,標準,2-3,
549,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,コワーキング・シェアオフィス,coworking,/stories/coworking/kokubunji/,C,薄め/様子見,1-2,
550,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/kokubunji/,C,薄め/様子見,1-2,
551,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/kokubunji/,D,都心は対象外/親統合,0,
552,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,リトリート・禅体験,retreat-zen,/stories/retreat-zen/kokubunji/,A,主力・最優先,3-5,
553,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/kokubunji/,B,標準,2-3,
554,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/kokubunji/,B,標準,2-3,
555,国分寺市,kokubunji,市,132928,住宅・閑静・崖線・文化,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/kokubunji/,B,標準,2-3,
556,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/kunitachi/,C,薄め/様子見,1-2,
557,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/kunitachi/,D,原則対象外/親統合,0,
558,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/kunitachi/,D,原則対象外/親統合,0,
559,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/kunitachi/,C,薄め/様子見,1-2,
560,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/kunitachi/,B,標準,2-3,
561,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/kunitachi/,C,薄め/様子見,1-2,
562,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/kunitachi/,C,薄め/様子見,1-2,
563,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/kunitachi/,B,標準,2-3,
564,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/kunitachi/,B,標準,2-3,
565,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/kunitachi/,C,薄め/様子見,1-2,
566,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/kunitachi/,D,都心は対象外/親統合,0,
567,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/kunitachi/,B,標準,2-3,
568,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/kunitachi/,C,薄め/様子見,1-2,
569,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/kunitachi/,C,薄め/様子見,1-2,
570,国立市,kunitachi,市,77038,学園・洗練・並木・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/kunitachi/,C,薄め/様子見,1-2,
571,福生市,fussa,市,56186,米軍基地・国際・横田・個性,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/fussa/,B,標準,2-3,
572,福生市,fussa,市,56186,米軍基地・国際・横田・個性,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/fussa/,D,原則対象外/親統合,0,
573,福生市,fussa,市,56186,米軍基地・国際・横田・個性,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/fussa/,D,原則対象外/親統合,0,
574,福生市,fussa,市,56186,米軍基地・国際・横田・個性,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/fussa/,B,標準,2-3,
575,福生市,fussa,市,56186,米軍基地・国際・横田・個性,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/fussa/,C,薄め/様子見,1-2,
576,福生市,fussa,市,56186,米軍基地・国際・横田・個性,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/fussa/,B,標準,2-3,
577,福生市,fussa,市,56186,米軍基地・国際・横田・個性,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/fussa/,C,薄め/様子見,1-2,
578,福生市,fussa,市,56186,米軍基地・国際・横田・個性,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/fussa/,C,薄め/様子見,1-2,
579,福生市,fussa,市,56186,米軍基地・国際・横田・個性,コワーキング・シェアオフィス,coworking,/stories/coworking/fussa/,C,薄め/様子見,1-2,
580,福生市,fussa,市,56186,米軍基地・国際・横田・個性,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/fussa/,B,標準,2-3,
581,福生市,fussa,市,56186,米軍基地・国際・横田・個性,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/fussa/,D,都心は対象外/親統合,0,
582,福生市,fussa,市,56186,米軍基地・国際・横田・個性,リトリート・禅体験,retreat-zen,/stories/retreat-zen/fussa/,C,薄め/様子見,1-2,
583,福生市,fussa,市,56186,米軍基地・国際・横田・個性,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/fussa/,C,薄め/様子見,1-2,
584,福生市,fussa,市,56186,米軍基地・国際・横田・個性,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/fussa/,B,標準,2-3,
585,福生市,fussa,市,56186,米軍基地・国際・横田・個性,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/fussa/,C,薄め/様子見,1-2,
586,狛江市,komae,市,83666,住宅・川・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/komae/,C,薄め/様子見,1-2,
587,狛江市,komae,市,83666,住宅・川・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/komae/,D,原則対象外/親統合,0,
588,狛江市,komae,市,83666,住宅・川・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/komae/,D,原則対象外/親統合,0,
589,狛江市,komae,市,83666,住宅・川・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/komae/,C,薄め/様子見,1-2,
590,狛江市,komae,市,83666,住宅・川・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/komae/,B,標準,2-3,
591,狛江市,komae,市,83666,住宅・川・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/komae/,C,薄め/様子見,1-2,
592,狛江市,komae,市,83666,住宅・川・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/komae/,B,標準,2-3,
593,狛江市,komae,市,83666,住宅・川・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/komae/,B,標準,2-3,
594,狛江市,komae,市,83666,住宅・川・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/komae/,C,薄め/様子見,1-2,
595,狛江市,komae,市,83666,住宅・川・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/komae/,C,薄め/様子見,1-2,
596,狛江市,komae,市,83666,住宅・川・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/komae/,C,限定的,1-2,
597,狛江市,komae,市,83666,住宅・川・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/komae/,B,標準,2-3,
598,狛江市,komae,市,83666,住宅・川・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/komae/,C,薄め/様子見,1-2,
599,狛江市,komae,市,83666,住宅・川・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/komae/,C,薄め/様子見,1-2,
600,狛江市,komae,市,83666,住宅・川・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/komae/,C,薄め/様子見,1-2,
601,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/higashiyamato/,C,薄め/様子見,1-2,
602,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/higashiyamato/,D,原則対象外/親統合,0,
603,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/higashiyamato/,D,原則対象外/親統合,0,
604,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/higashiyamato/,C,薄め/様子見,1-2,
605,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/higashiyamato/,B,標準,2-3,
606,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/higashiyamato/,C,薄め/様子見,1-2,
607,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/higashiyamato/,B,標準,2-3,
608,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/higashiyamato/,B,標準,2-3,
609,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/higashiyamato/,C,薄め/様子見,1-2,
610,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/higashiyamato/,C,薄め/様子見,1-2,
611,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/higashiyamato/,C,限定的,1-2,
612,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/higashiyamato/,C,薄め/様子見,1-2,
613,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/higashiyamato/,C,薄め/様子見,1-2,
614,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/higashiyamato/,C,薄め/様子見,1-2,
615,東大和市,higashiyamato,市,83496,住宅・湖・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/higashiyamato/,B,標準,2-3,
616,清瀬市,kiyose,市,76996,住宅・自然・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/kiyose/,C,薄め/様子見,1-2,
617,清瀬市,kiyose,市,76996,住宅・自然・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/kiyose/,C,限定的/要確認,1-2,
618,清瀬市,kiyose,市,76996,住宅・自然・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/kiyose/,C,限定的/要確認,1-2,
619,清瀬市,kiyose,市,76996,住宅・自然・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/kiyose/,C,薄め/様子見,1-2,
620,清瀬市,kiyose,市,76996,住宅・自然・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/kiyose/,B,標準,2-3,
621,清瀬市,kiyose,市,76996,住宅・自然・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/kiyose/,C,薄め/様子見,1-2,
622,清瀬市,kiyose,市,76996,住宅・自然・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/kiyose/,B,標準,2-3,
623,清瀬市,kiyose,市,76996,住宅・自然・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/kiyose/,B,標準,2-3,
624,清瀬市,kiyose,市,76996,住宅・自然・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/kiyose/,C,薄め/様子見,1-2,
625,清瀬市,kiyose,市,76996,住宅・自然・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/kiyose/,C,薄め/様子見,1-2,
626,清瀬市,kiyose,市,76996,住宅・自然・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/kiyose/,C,限定的,1-2,
627,清瀬市,kiyose,市,76996,住宅・自然・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/kiyose/,A,主力・最優先,3-5,
628,清瀬市,kiyose,市,76996,住宅・自然・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/kiyose/,C,薄め/様子見,1-2,
629,清瀬市,kiyose,市,76996,住宅・自然・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/kiyose/,C,薄め/様子見,1-2,
630,清瀬市,kiyose,市,76996,住宅・自然・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/kiyose/,C,薄め/様子見,1-2,
631,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/higashikurume/,C,薄め/様子見,1-2,
632,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/higashikurume/,D,原則対象外/親統合,0,
633,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/higashikurume/,D,原則対象外/親統合,0,
634,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/higashikurume/,C,薄め/様子見,1-2,
635,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/higashikurume/,B,標準,2-3,
636,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/higashikurume/,C,薄め/様子見,1-2,
637,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/higashikurume/,B,標準,2-3,
638,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/higashikurume/,B,標準,2-3,
639,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/higashikurume/,C,薄め/様子見,1-2,
640,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/higashikurume/,C,薄め/様子見,1-2,
641,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/higashikurume/,D,都心は対象外/親統合,0,
642,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/higashikurume/,B,標準,2-3,
643,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/higashikurume/,C,薄め/様子見,1-2,
644,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/higashikurume/,C,薄め/様子見,1-2,
645,東久留米市,higashikurume,市,114659,住宅・湧水・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/higashikurume/,C,薄め/様子見,1-2,
646,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/musashimurayama/,C,薄め/様子見,1-2,
647,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/musashimurayama/,C,限定的/要確認,1-2,
648,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/musashimurayama/,C,限定的/要確認,1-2,
649,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/musashimurayama/,C,薄め/様子見,1-2,
650,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/musashimurayama/,B,標準,2-3,
651,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/musashimurayama/,C,薄め/様子見,1-2,
652,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/musashimurayama/,B,標準,2-3,
653,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/musashimurayama/,B,標準,2-3,
654,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/musashimurayama/,C,薄め/様子見,1-2,
655,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/musashimurayama/,C,薄め/様子見,1-2,
656,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/musashimurayama/,C,限定的,1-2,
657,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/musashimurayama/,B,標準,2-3,
658,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/musashimurayama/,C,薄め/様子見,1-2,
659,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/musashimurayama/,C,薄め/様子見,1-2,
660,武蔵村山市,musashimurayama,市,69275,住宅・自然・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/musashimurayama/,B,標準,2-3,
661,多摩市,tama,市,146720,ニュータウン・住宅・商業,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/tama/,C,薄め/様子見,1-2,
662,多摩市,tama,市,146720,ニュータウン・住宅・商業,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/tama/,D,原則対象外/親統合,0,
663,多摩市,tama,市,146720,ニュータウン・住宅・商業,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/tama/,D,原則対象外/親統合,0,
664,多摩市,tama,市,146720,ニュータウン・住宅・商業,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/tama/,B,標準,2-3,
665,多摩市,tama,市,146720,ニュータウン・住宅・商業,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/tama/,B,標準,2-3,
666,多摩市,tama,市,146720,ニュータウン・住宅・商業,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/tama/,C,薄め/様子見,1-2,
667,多摩市,tama,市,146720,ニュータウン・住宅・商業,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/tama/,B,標準,2-3,
668,多摩市,tama,市,146720,ニュータウン・住宅・商業,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/tama/,B,標準,2-3,
669,多摩市,tama,市,146720,ニュータウン・住宅・商業,コワーキング・シェアオフィス,coworking,/stories/coworking/tama/,C,薄め/様子見,1-2,
670,多摩市,tama,市,146720,ニュータウン・住宅・商業,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/tama/,C,薄め/様子見,1-2,
671,多摩市,tama,市,146720,ニュータウン・住宅・商業,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/tama/,D,都心は対象外/親統合,0,
672,多摩市,tama,市,146720,ニュータウン・住宅・商業,リトリート・禅体験,retreat-zen,/stories/retreat-zen/tama/,C,薄め/様子見,1-2,
673,多摩市,tama,市,146720,ニュータウン・住宅・商業,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/tama/,C,薄め/様子見,1-2,
674,多摩市,tama,市,146720,ニュータウン・住宅・商業,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/tama/,C,薄め/様子見,1-2,
